POSITION_PCT,MAX_POSITION_PCT,STOP_LOSS_PCT,TRAILING_STOP_PCT,SELL_COOLDOWN_BARS,MACD_SELL_RSI_MIN,MOMENTUM_FILTER_ENABLED,MOMENTUM_LOOKBACK,MOMENTUM_MIN_PCT,DEATH_CROSS_CONFIRM,PROFIT_PROTECT_ENABLED,PROFIT_PROTECT_PCT,total_return,annual_return,max_drawdown,sharpe,trades,win_rate,final_value
0.85,0.4,0.15,0.2,5,95,True,5,-0.15,1,False,0.05,0.5807542968445998,0.23660391408768122,-0.1268500544541616,1.028170210233818,169,0.5274725274725275,1580754.2968445998
0.85,0.4,0.15,0.2,5,85,True,5,-0.15,1,False,0.05,0.5807542968445998,0.23660391408768122,-0.1268500544541616,1.028170210233818,169,0.5274725274725275,1580754.2968445998
0.85,0.4,0.15,0.2,5,90,True,5,-0.15,1,False,0.05,0.5807542968445998,0.23660391408768122,-0.1268500544541616,1.028170210233818,169,0.5274725274725275,1580754.2968445998
0.85,0.4,0.15,0.15,5,95,True,5,-0.15,1,False,0.05,0.5794692776925995,0.23613758912828686,-0.1268500544541616,1.0261556364348774,169,0.5274725274725275,1579469.2776925995
0.85,0.4,0.2,0.15,5,85,True,5,-0.15,1,False,0.05,0.5794692776925995,0.23613758912828686,-0.1268500544541616,1.0261556364348774,169,0.5274725274725275,1579469.2776925995
0.85,0.4,0.2,0.15,5,95,True,5,-0.15,1,False,0.05,0.5794692776925995,0.23613758912828686,-0.1268500544541616,1.0261556364348774,169,0.5274725274725275,1579469.2776925995
0.85,0.4,0.15,0.15,5,85,True,5,-0.15,1,False,0.05,0.5794692776925995,0.23613758912828686,-0.1268500544541616,1.0261556364348774,169,0.5274725274725275,1579469.2776925995
0.85,0.4,0.15,0.15,5,90,True,5,-0.15,1,False,0.05,0.5794692776925995,0.23613758912828686,-0.1268500544541616,1.0261556364348774,169,0.5274725274725275,1579469.2776925995
0.85,0.4,0.2,0.15,5,90,True,5,-0.15,1,False,0.05,0.5794692776925995,0.23613758912828686,-0.1268500544541616,1.0261556364348774,169,0.5274725274725275,1579469.2776925995
0.85,0.4,0.3,0.15,5,85,True,5,-0.15,1,False,0.05,0.5794692776925995,0.23613758912828686,-0.1268500544541616,1.0261556364348774,169,0.5274725274725275,1579469.2776925995
0.85,0.4,0.3,0.15,5,95,True,5,-0.15,1,False,0.05,0.5794692776925995,0.23613758912828686,-0.1268500544541616,1.0261556364348774,169,0.5274725274725275,1579469.2776925995
0.85,0.4,0.3,0.15,5,90,True,5,-0.15,1,False,0.05,0.5794692776925995,0.23613758912828686,-0.1268500544541616,1.0261556364348774,169,0.5274725274725275,1579469.2776925995
0.9,0.35,0.15,0.15,5,85,True,5,-0.15,1,False,0.05,0.5554191384411994,0.2273721312263557,-0.11660650785288998,1.0544638172480871,162,0.5454545454545454,1555419.1384411994
0.95,0.35,0.3,0.15,5,90,True,5,-0.15,1,False,0.05,0.5554191384411994,0.2273721312263557,-0.11660650785288998,1.0544638172480871,162,0.5454545454545454,1555419.1384411994
0.9,0.35,0.3,0.15,5,90,True,5,-0.15,1,False,0.05,0.5554191384411994,0.2273721312263557,-0.11660650785288998,1.0544638172480871,162,0.5454545454545454,1555419.1384411994
0.95,0.35,0.15,0.15,5,90,True,5,-0.15,1,False,0.05,0.5554191384411994,0.2273721312263557,-0.11660650785288998,1.0544638172480871,162,0.5454545454545454,1555419.1384411994
